X:0.1,Y:0.1,X:0.02,Y:0.02,X:0.04,Y:0.04,,,,,,,,,,,,,,,,,,,,,,,ID
0.05,-1.384157,0.01,-3.187,0.02,-2.228707,,,,,,,,,,,,,,,,,,,,,,,
0.05242,-1.32686,0.0108803,-3.106342,0.0213349,-2.139568,,,,,,,,,,,,,,,,,,,,,,,
0.054615,-1.261077,0.0113782,-3.034177,0.0219958,-2.022828,,,,,,,,,,,,,,,,,,,,,,,
0.0585018,-1.167714,0.0116243,-2.97899,0.022998,-1.92095,,,,,,,,,,,,,,,,,,,,,,,
0.0617119,-1.084958,0.0119438,-2.84845,0.024169,-1.812705,,,,,,,,,,,,,,,,,,,,,,,
0.0642483,-1.034036,0.0119528,-2.907885,0.0260174,-1.698098,,,,,,,,,,,,,,,,,,,,,,,
0.0681387,-0.964022,0.0120774,-2.609654,0.0276933,-1.564386,,,,,,,,,,,,,,,,,,,,,,,
0.0732141,-0.879159,0.0122725,-2.778406,0.0307263,-1.432808,,,,,,,,,,,,,,,,,,,,,,,
0.0791388,-0.802795,0.0125157,-2.704116,0.0325773,-1.335182,,,,,,,,,,,,,,,,,,,,,,,
0.0845547,-0.726425,0.0127431,-2.524754,0.0339194,-1.237552,,,,,,,,,,,,,,,,,,,,,,,
0.0889562,-0.671274,0.0134857,-2.38785,0.0374623,-1.112346,,,,,,,,,,,,,,,,,,,,,,,
0.0935269,-0.614002,0.0134953,-2.45153,0.0410077,-1.004122,,,,,,,,,,,,,,,,,,,,,,,
0.0991156,-0.55886,0.0138993,-2.318868,0.0454012,-0.895904,,,,,,,,,,,,,,,,,,,,,,,
0.1065687,-0.495244,0.0142271,-2.243517,0.0486141,-0.832252,,,,,,,,,,,,,,,,,,,,,,,
0.1130061,-0.444356,0.0148892,-2.135268,0.0543663,-0.736782,,,,,,,,,,,,,,,,,,,,,,,
0.1201209,-0.387105,0.0152174,-2.06204,0.0599477,-0.63282,,,,,,,,,,,,,,,,,,,,,,,
0.1291021,-0.334115,0.0158024,-2.004733,0.065024,-0.554326,,,,,,,,,,,,,,,,,,,,,,,
0.1375735,-0.274753,0.0167223,-1.918774,0.0721373,-0.486462,,,,,,,,,,,,,,,,,,,,,,,
0.1448605,-0.234485,0.0173032,-1.834935,0.0785718,-0.416469,,,,,,,,,,,,,,,,,,,,,,,
0.1514691,-0.194211,0.0183916,-1.741548,0.0875472,-0.325272,,,,,,,,,,,,,,,,,,,,,,,
0.1584172,-0.156062,0.019226,-1.651342,0.095511,-0.274396,,,,,,,,,,,,,,,,,,,,,,,
0.1662133,-0.117921,0.0204805,-1.534608,0.1033052,-0.223519,,,,,,,,,,,,,,,,,,,,,,,
