X:0.1,Y:0.1,X:0.02,Y:0.02,X:0.04,Y:0.04,,,,,,,,,,,,,,,,,,,,,,,ID
0.05,-0.02787,0.01,-0.02989,0.02,-0.01586,,,,,,,,,,,,,,,,,,,,,,,
0.051238,0.94061,0.0097989,0.58594,0.0209401,0.76124,,,,,,,,,,,,,,,,,,,,,,,
0.0525067,1.689,0.0103146,1.14309,0.0217259,1.5823,,,,,,,,,,,,,,,,,,,,,,,
0.054277,2.96564,0.0110882,1.89085,0.0217359,2.35943,,,,,,,,,,,,,,,,,,,,,,,
0.0552836,3.8901,0.0116039,2.66794,0.0227805,3.20981,,,,,,,,,,,,,,,,,,,,,,,
0.0557807,4.59445,0.0118618,3.32775,0.0235665,4.04554,,,,,,,,,,,,,,,,,,,,,,,
0.0583215,5.95916,0.0121196,4.03155,0.0240931,4.80797,,,,,,,,,,,,,,,,,,,,,,,
0.0606025,7.4119,0.0131511,4.72064,0.0253965,5.68766,,,,,,,,,,,,,,,,,,,,,,,
0.0636559,8.87934,0.0131511,5.46844,0.0261817,6.46474,,,,,,,,,,,,,,,,,,,,,,,
0.0654311,9.96524,0.0141826,6.37747,0.0269668,7.22716,,,,,,,,,,,,,,,,,,,,,,,
0.0682386,10.97779,0.0149562,7.25719,0.0274961,8.19487,,,,,,,,,,,,,,,,,,,,,,,
0.0725853,12.23984,0.0154719,8.29821,0.0288026,9.32382,,,,,,,,,,,,,,,,,,,,,,,
0.0787329,13.58998,0.0172769,9.67641,0.0295879,10.1009,,,,,,,,,,,,,,,,,,,,,,,
0.084635,14.47057,0.0180505,10.48281,0.0321861,11.20046,,,,,,,,,,,,,,,,,,,,,,,
0.0918315,15.10174,0.0195977,11.50911,0.0342631,11.9628,,,,,,,,,,,,,,,,,,,,,,,
0.1018608,15.76234,0.0216606,12.62336,0.0363413,12.81312,,,,,,,,,,,,,,,,,,,,,,,
0.1134384,16.32028,0.0237236,13.69362,0.0386771,13.60477,,,,,,,,,,,,,,,,,,,,,,,
0.1237322,16.71676,0.0260444,14.42662,0.0420465,14.39636,,,,,,,,,,,,,,,,,,,,,,,
0.1394378,17.02537,0.0293966,15.21822,0.0464508,15.29053,,,,,,,,,,,,,,,,,,,,,,,
0.1515396,17.23115,0.0340382,15.95108,0.0505914,15.77416,,,,,,,,,,,,,,,,,,,,,,,
0.1677635,17.42238,0.0391955,16.59594,0.0568013,16.41896,,,,,,,,,,,,,,,,,,,,,,,
0.185537,17.45225,0.0456421,17.0941,0.0624915,16.84384,,,,,,,,,,,,,,,,,,,,,,,
0.2071746,17.48224,0.053378,17.5042,0.0699898,17.20997,,,,,,,,,,,,,,,,,,,,,,,
0.223664,17.36533,0.0598247,17.75309,0.0764537,17.51751,,,,,,,,,,,,,,,,,,,,,,,
0.2337122,17.29226,0.0691078,18.00181,0.085501,17.78091,,,,,,,,,,,,,,,,,,,,,,,
0.2409257,17.26312,0.0796802,18.22113,0.096873,17.97086,,,,,,,,,,,,,,,,,,,,,,,
0.255613,17.10215,0.0869005,18.32335,0.1095375,18.20472,,,,,,,,,,,,,,,,,,,,,,,
0.2669504,16.98509,0.0982465,18.41066,0.1224587,18.3066,,,,,,,,,,,,,,,,,,,,,,,
0.2811233,16.79475,0.108819,18.46869,0.1353792,18.34983,,,,,,,,,,,,,,,,,,,,,,,
0.294265,16.63373,0.1191336,18.51207,0.1449403,18.3786,,,,,,,,,,,,,,,,,,,,,,,
0.3125613,16.37014,0.129706,18.52612,0.1542428,18.39271,,,,,,,,,,,,,,,,,,,,,,,
0.3285396,16.09181,0.1462094,18.45184,0.1671623,18.36263,,,,,,,,,,,,,,,,,,,,,,,
