# Region type : patch outerCylinder
# Faces  :    4000
# Area   :    1.570393e-01
# Time        	areaNormalIntegrate(wallShearStress)
3             	(-3.219355e-04 0.000000e+00 0.000000e+00)
3.1           	(-2.730348e-04 0.000000e+00 0.000000e+00)
3.2           	(-3.272707e-04 0.000000e+00 0.000000e+00)
3.3           	(-3.113866e-04 0.000000e+00 0.000000e+00)
3.4           	(-2.757303e-04 0.000000e+00 0.000000e+00)
3.5           	(-2.851370e-04 0.000000e+00 0.000000e+00)
3.6           	(-2.658635e-04 0.000000e+00 0.000000e+00)
3.7           	(-2.455838e-04 0.000000e+00 0.000000e+00)
3.8           	(-3.217650e-04 0.000000e+00 0.000000e+00)
3.9           	(-2.321921e-04 0.000000e+00 0.000000e+00)
4             	(-2.033885e-04 0.000000e+00 0.000000e+00)
4.1           	(-2.897640e-04 0.000000e+00 0.000000e+00)
4.2           	(-2.590395e-04 0.000000e+00 0.000000e+00)
4.3           	(-2.261404e-04 0.000000e+00 0.000000e+00)
4.4           	(-2.375480e-04 0.000000e+00 0.000000e+00)
4.5           	(-2.862665e-04 0.000000e+00 0.000000e+00)
4.6           	(-2.401604e-04 0.000000e+00 0.000000e+00)
4.7           	(-2.365686e-04 0.000000e+00 0.000000e+00)
4.8           	(-2.484742e-04 0.000000e+00 0.000000e+00)
4.9           	(-2.616191e-04 0.000000e+00 0.000000e+00)
5             	(-2.384243e-04 0.000000e+00 0.000000e+00)
5.1           	(-2.550368e-04 0.000000e+00 0.000000e+00)
5.2           	(-2.260211e-04 0.000000e+00 0.000000e+00)
5.3           	(-1.938024e-04 0.000000e+00 0.000000e+00)
5.4           	(-2.185155e-04 0.000000e+00 0.000000e+00)
5.5           	(-2.383229e-04 0.000000e+00 0.000000e+00)
5.6           	(-1.675352e-04 0.000000e+00 0.000000e+00)
5.7           	(-2.809964e-04 0.000000e+00 0.000000e+00)
5.8           	(-2.788758e-04 0.000000e+00 0.000000e+00)
5.9           	(-2.413701e-04 0.000000e+00 0.000000e+00)
6             	(-2.873592e-04 0.000000e+00 0.000000e+00)
6.1           	(-2.734023e-04 0.000000e+00 0.000000e+00)
6.2           	(-2.071136e-04 0.000000e+00 0.000000e+00)
6.3           	(-2.553300e-04 0.000000e+00 0.000000e+00)
6.4           	(-2.435678e-04 0.000000e+00 0.000000e+00)
6.5           	(-2.401725e-04 0.000000e+00 0.000000e+00)
6.6           	(-2.688798e-04 0.000000e+00 0.000000e+00)
6.7           	(-2.322793e-04 0.000000e+00 0.000000e+00)
6.8           	(-2.741014e-04 0.000000e+00 0.000000e+00)
6.9           	(-2.899541e-04 0.000000e+00 0.000000e+00)
7             	(-3.012480e-04 0.000000e+00 0.000000e+00)
7.1           	(-2.384239e-04 0.000000e+00 0.000000e+00)
7.2           	(-2.581533e-04 0.000000e+00 0.000000e+00)
7.3           	(-2.524457e-04 0.000000e+00 0.000000e+00)
7.4           	(-2.510357e-04 0.000000e+00 0.000000e+00)
7.5           	(-2.028340e-04 0.000000e+00 0.000000e+00)
7.6           	(-2.687576e-04 0.000000e+00 0.000000e+00)
7.7           	(-2.802640e-04 0.000000e+00 0.000000e+00)
7.8           	(-2.819705e-04 0.000000e+00 0.000000e+00)
7.9           	(-2.483484e-04 0.000000e+00 0.000000e+00)
8             	(-2.425063e-04 0.000000e+00 0.000000e+00)
8.1           	(-2.192713e-04 0.000000e+00 0.000000e+00)
8.2           	(-3.019467e-04 0.000000e+00 0.000000e+00)
8.3           	(-3.546554e-04 0.000000e+00 0.000000e+00)
8.4           	(-2.015568e-04 0.000000e+00 0.000000e+00)
8.5           	(-2.902504e-04 0.000000e+00 0.000000e+00)
8.6           	(-2.199908e-04 0.000000e+00 0.000000e+00)
8.7           	(-2.268076e-04 0.000000e+00 0.000000e+00)
8.8           	(-2.646439e-04 0.000000e+00 0.000000e+00)
8.9           	(-2.255715e-04 0.000000e+00 0.000000e+00)
9             	(-2.900065e-04 0.000000e+00 0.000000e+00)
9.1           	(-2.914651e-04 0.000000e+00 0.000000e+00)
9.2           	(-1.886223e-04 0.000000e+00 0.000000e+00)
9.3           	(-2.570330e-04 0.000000e+00 0.000000e+00)
9.4           	(-2.608266e-04 0.000000e+00 0.000000e+00)
9.5           	(-2.428965e-04 0.000000e+00 0.000000e+00)
9.6           	(-2.022154e-04 0.000000e+00 0.000000e+00)
9.7           	(-2.856794e-04 0.000000e+00 0.000000e+00)
9.8           	(-2.307496e-04 0.000000e+00 0.000000e+00)
9.9           	(-1.778651e-04 0.000000e+00 0.000000e+00)
10            	(-2.802416e-04 0.000000e+00 0.000000e+00)
10.1          	(-2.468955e-04 0.000000e+00 0.000000e+00)
10.2          	(-2.338940e-04 0.000000e+00 0.000000e+00)
10.3          	(-1.873422e-04 0.000000e+00 0.000000e+00)
10.4          	(-2.270371e-04 0.000000e+00 0.000000e+00)
10.5          	(-2.920713e-04 0.000000e+00 0.000000e+00)
10.6          	(-2.758228e-04 0.000000e+00 0.000000e+00)
10.7          	(-2.146875e-04 0.000000e+00 0.000000e+00)
10.8          	(-2.408330e-04 0.000000e+00 0.000000e+00)
10.9          	(-2.750142e-04 0.000000e+00 0.000000e+00)
11            	(-2.120199e-04 0.000000e+00 0.000000e+00)
11.1          	(-2.183388e-04 0.000000e+00 0.000000e+00)
11.2          	(-2.288709e-04 0.000000e+00 0.000000e+00)
11.3          	(-2.539989e-04 0.000000e+00 0.000000e+00)
11.4          	(-2.249263e-04 0.000000e+00 0.000000e+00)
11.5          	(-2.101070e-04 0.000000e+00 0.000000e+00)
11.6          	(-2.886214e-04 0.000000e+00 0.000000e+00)
11.7          	(-1.862624e-04 0.000000e+00 0.000000e+00)
11.8          	(-3.022998e-04 0.000000e+00 0.000000e+00)
11.9          	(-2.456985e-04 0.000000e+00 0.000000e+00)
12            	(-2.274906e-04 0.000000e+00 0.000000e+00)
12.1          	(-2.397858e-04 0.000000e+00 0.000000e+00)
12.2          	(-2.139922e-04 0.000000e+00 0.000000e+00)
12.3          	(-2.344763e-04 0.000000e+00 0.000000e+00)
