Time,Magnitude
3.0,0.0003219355
3.1,0.0002730348
3.2,0.0003272707
3.3,0.0003113866
3.4,0.0002757303
3.5,0.000285137
3.6,0.0002658635
3.7,0.0002455838
3.8,0.000321765
3.9,0.0002321921
4.0,0.0002033885
4.1,0.000289764
4.2,0.0002590395
4.3,0.0002261404
4.4,0.000237548
4.5,0.0002862665
4.6,0.0002401604
4.7,0.0002365686
4.8,0.0002484742
4.9,0.0002616191
5.0,0.0002384243
5.1,0.0002550368
5.2,0.0002260211
5.3,0.0001938024
5.4,0.0002185155
5.5,0.0002383229
5.6,0.0001675352
5.7,0.0002809964
5.8,0.0002788758
5.9,0.0002413701
6.0,0.0002873592
6.1,0.0002734023
6.2,0.0002071136
6.3,0.00025533
6.4,0.0002435678
6.5,0.0002401725
6.6,0.0002688798
6.7,0.0002322793
6.8,0.0002741014
6.9,0.0002899541
7.0,0.000301248
7.1,0.0002384239
7.2,0.0002581533
7.3,0.0002524457
7.4,0.0002510357
7.5,0.000202834
7.6,0.0002687576
7.7,0.000280264
7.8,0.0002819705
7.9,0.0002483484
8.0,0.0002425063
8.1,0.0002192713
8.2,0.0003019467
8.3,0.0003546554
8.4,0.0002015568
8.5,0.0002902504
8.6,0.0002199908
8.7,0.0002268076
8.8,0.0002646439
8.9,0.0002255715
9.0,0.0002900065
9.1,0.0002914651
9.2,0.0001886223
9.3,0.000257033
9.4,0.0002608266
9.5,0.0002428965
9.6,0.0002022154
9.7,0.0002856794
9.8,0.0002307496
9.9,0.0001778651
10.0,0.0002802416
10.1,0.0002468955
10.2,0.000233894
10.3,0.0001873422
10.4,0.0002270371
10.5,0.0002920713
10.6,0.0002758228
10.7,0.0002146875
10.8,0.000240833
10.9,0.0002750142
11.0,0.0002120199
11.1,0.0002183388
11.2,0.0002288709
11.3,0.0002539989
11.4,0.0002249263
11.5,0.000210107
11.6,0.0002886214
11.7,0.0001862624
11.8,0.0003022998
11.9,0.0002456985
12.0,0.0002274906
12.1,0.0002397858
12.2,0.0002139922
12.3,0.0002344763
12.4,0.0002337285
12.5,0.0002514446
12.6,0.0003055731
12.7,0.000244186
12.8,0.0002317985
12.9,0.0001965133
13.0,0.0002694237
13.1,0.0003137132
13.2,0.000346716
13.3,0.0002187819
13.4,0.0002472995
13.5,0.0002814131
13.6,0.0002277871
13.7,0.0002211449
13.8,0.000247125
13.9,0.0002870267
14.0,0.0001699562
14.1,0.0002554184
14.2,0.0002028463
14.3,0.0002059669
14.4,0.0002827212
14.5,0.0002513364
14.6,0.0002218479
14.7,0.0002588883
14.8,0.0002609467
14.9,0.0002377362
15.0,0.000276704
